1.73E+13,6.40E+19,w00000,5/5/2020 00:00:00,84.22,2024
1.73E+13,6.40E+19,w00000,6/5/2020 00:00:00,98.92,2372
1.73E+13,6.40E+19,w00000,7/5/2020 00:00:00,89.41,2148
1.73E+13,6.40E+19,w00000,8/5/2020 00:00:00,112.72,2702.76
1.73E+13,6.40E+19,w00000,9/5/2020 00:00:00,94.77,2276.6
1.73E+13,6.40E+19,w00000,10/5/2020 00:00:00,79.61,1912
1.73E+13,6.40E+19,w00000,11/5/2020 00:00:00,82.42,1980
1.73E+13,6.40E+19,w00000,12/5/2020 00:00:00,83.39,2002
1.73E+13,6.40E+19,w00000,13/5/2020 00:00:00,74.13,1780
1.73E+13,6.40E+19,w00000,14/5/2020 00:00:00,67.9,1626
1.73E+13,6.40E+19,w00000,15/5/2020 00:00:00,70.62,1694
1.73E+13,6.40E+19,w00000,16/5/2020 00:00:00,73.11,1756
1.73E+13,6.40E+19,w00000,17/5/2020 00:00:00,61.1,1468
1.73E+13,6.40E+19,w00000,18/5/2020 00:00:00,89.41,2144
1.73E+13,6.40E+19,w00000,19/5/2020 00:00:00,82.74,1988
1.73E+13,6.40E+19,w00000,20/5/2020 00:00:00,71.83,1728
1.73E+13,6.40E+19,w00000,21/5/2020 00:00:00,68.59,1647.49
1.73E+13,6.40E+19,w00000,22/5/2020 00:00:00,60.55,1452
1.73E+13,6.40E+19,w00000,23/5/2020 00:00:00,64.46,1550
1.73E+13,6.40E+19,w00000,24/5/2020 00:00:00,65.7,1582
1.73E+13,6.40E+19,w00000,25/5/2020 00:00:00,65.76,1580
1.73E+13,6.40E+19,w00000,26/5/2020 00:00:00,69.19,1660
1.73E+13,6.40E+19,w00000,27/5/2020 00:00:00,79.63,1914
1.73E+13,6.40E+19,w00000,28/5/2020 00:00:00,66.57,1602
1.73E+13,6.40E+19,w00000,29/5/2020 00:00:00,66.73,1600
1.73E+13,6.40E+19,w00000,30/5/2020 00:00:00,93.77,2253.24
1.73E+13,6.40E+19,w00000,31/5/2020 00:00:00,73.6,1766
1.73E+13,6.40E+19,w00000,1/6/2020 00:00:00,62.3,1498
1.73E+13,6.40E+19,w00000,2/6/2020 00:00:00,67.82,1628
1.73E+13,6.40E+19,w00000,3/6/2020 00:00:00,70.29,1688
1.73E+13,6.40E+19,w00000,4/6/2020 00:00:00,69.68,1673.07
1.73E+13,6.40E+19,w00000,5/6/2020 00:00:00,71.14,1708
1.73E+13,6.40E+19,w00000,6/6/2020 00:00:00,92.09,2218
1.73E+13,6.40E+19,w00000,7/6/2020 00:00:00,56.74,1360
1.73E+13,6.40E+19,w00000,8/6/2020 00:00:00,84.64,2044
1.73E+13,6.40E+19,w00000,9/6/2020 00:00:00,72.31,1738
1.73E+13,6.40E+19,w00000,10/6/2020 00:00:00,100.6,2428
1.73E+13,6.40E+19,w00000,11/6/2020 00:00:00,64.12,1538
1.73E+13,6.40E+19,w00000,12/6/2020 00:00:00,431.85,6958.55
1.73E+13,6.40E+19,w00000,13/6/2020 00:00:00,78.94,1892.12
1.73E+13,6.40E+19,w00000,14/6/2020 00:00:00,65.99,1584
1.73E+13,6.40E+19,w00000,15/6/2020 00:00:00,75.75,1820
1.73E+13,6.40E+19,w00000,16/6/2020 00:00:00,263.36,6180
1.73E+13,6.40E+19,w00000,17/6/2020 00:00:00,295.86,4997.21
1.73E+13,6.40E+19,w00000,18/6/2020 00:00:00,130.61,3341.61
1.73E+13,6.40E+19,w00000,19/6/2020 00:00:00,105.14,2531.97
1.73E+13,6.40E+19,w00000,20/6/2020 00:00:00,65.52,1572
1.73E+13,6.40E+19,w00000,21/6/2020 00:00:00,64.26,1544
1.73E+13,6.40E+19,w00000,22/6/2020 00:00:00,73.24,1760
